PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Calaça, F. J. S.; Sousa, D. G.; Belém-Junior, J. S.; Faquim, R. C. P.; Xavier-Santos, S.; Silva-Neto, C. M.; Souza, M. M. O.		Perception of fungi by farmers in the Cerrado	Percepção de agricultores do Cerrado sobre os fungos			Brazilian Journal of Biology	English	research-article	agroecology; ethnomycology; fungal biology; popular knowledge		agroecologia; conhecimento popular; etnomicologia; biologia fúngica		Abstract Fungi are important in several aspects of human life. In particular, to agriculture, pathogenic fungi are of great importance, as they are responsible for production losses of the most diverse types. Because of this, knowledge about pathogenic fungus is of extreme importance for farmers and professionals working in agricultural areas. Among farmers who use specific agroecological practices, this knowledge is even more valuable, since by not adopting conventional methods of production, they resort to non-invasive alternatives that are less or not harmful at all to the environment in consideration of production management methods. This study aimed to assess farmer perception in the Cerrado biome in the city of Goiás (GO), Brazil, in order to understand their ethnomycological perceptions to verify historical management practices, their knowledge about phytopathogenic fungi, and how these producers perceive fungi. We used the theoretical reference method “From peasant to peasant” formulated by ANPA - National Association of Small Farmers. Some aspects of farmers’ ethnomycological knowledge are discussed. These ease identification the representatives of the Fungi Kingdom is associated with organisms that present easily recognizable characteristics, such as wood-ears or disease-causing fungi. In general, farmers are able to identify representatives of the Fungi Kingdom that are found in their daily lives. The perception of farmers about fungi, a group still much unknown by society, is very relevant for future actions of ethnomycology.		Resumo Percepção dos fungos por agricultores do Cerrado – Fungos são organismos importantes em vários aspectos da vida humana. Em particular, para a agricultura, fungos patogênicos são de grande importância, pois são responsáveis por perdas de produção dos mais diversos tipos. Por isso, o conhecimento sobre fungos patogênicos é de extrema importância para agricultores e profissionais que trabalham em áreas agrícolas. Entre os agricultores que utilizam práticas agroecológicas, esse conhecimento é ainda mais valioso, pois, ao não adotar métodos convencionais de produção, recorrem a alternativas não invasivas que são menos ou não prejudiciais ao meio ambiente, considerando os métodos de gerenciamento da produção. Este estudo teve como objetivo avaliar a percepção de um grupo de agricultores do bioma Cerrado, na cidade de Goiás (GO), Brasil, a fim de compreender suas percepções etnomicológicas, de modo a verificar práticas históricas de manejo, seu conhecimento sobre fungos fitopatogênicos e como esses produtores percebem os fungos, de modo geral. Utilizamos o método “de camponês para camponês”, formulado pela ANPA – Associação Nacional de Pequenos Agricultores. Discutimos alguns aspectos do conhecimento etnomicológico destes agricultores. A facilidade de identificação de representantes fúngicos está associada a organismos que apresentam características facilmente reconhecíveis, como estereótipo orelha-de-pau ou fungos causadores de doenças em cultivares. Em geral, os agricultores do estudo são capazes de identificar representantes do Reino Fungi que são encontrados em suas vidas cotidianas. A percepção dos agricultores sobre os fungos, um grupo ainda muito desconhecido pela sociedade, é muito relevante para ações futuras dentro da etnomicologia.		[Calaça, F. J. S.; Sousa, D. G.; Belém-Junior, J. S.; Faquim, R. C. P.; Xavier-Santos, S.; Silva-Neto, C. M.; Souza, M. M. O.] Universidade Estadual de Goiás, Brazil; [Calaça, F. J. S.; Xavier-Santos, S.] Universidade Estadual de Goiás, Brazil; [Silva-Neto, C. M.] Instituto Federal de Goiás, Brasil; [Souza, M. M. O.] Universidade Estadual de Goiás, Brazil		de Melo e Silva Neto, Carlos/A-2003-2016; XAVIER-SANTOS, SOLANGE/D-2610-2013	de Melo e Silva Neto, Carlos/0000-0001-8624-3836; Faquim, Ruan/0000-0002-7137-1197; XAVIER-SANTOS, SOLANGE/0000-0002-3397-0885		39	0	0	6	6	Instituto Internacional de Ecologia			1678-4375		2022	82		e236219		10.1590/1519-6984.236219	Biology	SciELO Brazil	Life Sciences & Biomedicine - Other Topics	SCIELO:S1519-69842022000100161	gold				
J	Campanati, Fernanda Letícia da Silva; Ribeiro, Laiane Medeiros; Silva, Izabel Cristina Rodrigues da; Hermann, Paula Regina de Souza; Brasil, Guilherme da Costa; Carneiro, Karen Karoline Gouveia; Funghetto, Silvana Schwerz		Clinical simulation as a Nursing Fundamentals teaching method: a quasi-experimental study	La simulación clínica como método de enseñanza en la Enfermería Fundamental: un estudio casi-experimental	A simulação clínica como método de ensino na Enfermagem Fundamental: um estudo quase-experimental		Revista Brasileira de Enfermagem	English	research-article	Nursing; Teaching; Education; Simulation Training; Patient Simulation	Enfermería; Enseñanza; Educación en Enfermería; Simulación; Simulación de Paciente	Enfermagem; Ensino; Educação em Enfermagem; Simulação; Simulação de Paciente		ABSTRACT Objectives: to evaluate students’ knowledge gain after the implementation of clinical simulation in Nursing Fundamentals disciplines. Methods: a quasi-experimental intervention was carried out with 60 students, distributed in comparison and intervention groups, who underwent traditional teaching and traditional teaching associated with simulated teaching, respectively. Pre-test and post-test instruments were applied to both groups. Results: after analyzing the students’ performance through the applied instruments, both groups had a cognitive evolution along with the taught content, however, when compared, the intervention group obtained a higher knowledge gain than the comparison group (p = 0.016), demonstrating progressive and increasing improvement with the use of the methodology. Conclusions: simulated teaching significantly helps students in gaining technical-cognitive knowledge. Therefore, it is recommended to adhere to the use of this methodology for teaching Nursing Fundamentals.	RESUMEN Objetivos: evaluar implementación de simulación clínica en asignaturas pautadas en la Enfermería Fundamental cuanto a la adquisición de conocimiento por discente. Métodos: realizó una intervención casi-experimental con 60 estudiantes, distribuidos en grupos de comparación e intervención, los cuales hicieron uso de la enseñanza tradicional y enseñanza tradicional relacionada a enseñanza simulada, respectivamente. Fueron aplicados instrumentos de pretest y postest a ambos grupos. Resultados: analizado el desempeño de los estudiantes mediante los instrumentos aplicados, ambos los grupos tuvieron una evolución cognitiva al largo del contenido ministrado, pero, cuando comparados, el grupo de intervención obtuvo una adquisición de conocimiento superior al grupo de comparación (p = 0,016), demostrando mejora progresiva y creciente con el uso de la metodología utilizada. Conclusiones: la enseñanza simulada auxilia de manera significativa en la adquisición de conocimiento técnico-cognitivo de los estudiantes. Así, se recomienda adherir al uso de esa metodología en la enseñanza de la Enfermería Fundamental.	RESUMO Objetivos: avaliar a implementação da simulação clínica nas disciplinas pautadas na Enfermagem Fundamental quanto ao ganho de conhecimento pelo discente. Métodos: realizou-se uma intervenção quase-experimental com 60 estudantes, distribuídos em grupos de comparação e de intervenção, os quais fizeram uso do ensino tradicional e do ensino tradicional associado ao ensino simulado, respectivamente. Foram aplicados instrumentos de pré-teste e pós-teste a ambos grupos. Resultados: analisado o desempenho dos estudantes por meio dos instrumentos aplicados, ambos os grupos tiveram uma evolução cognitiva ao longo do conteúdo ministrado, porém, quando comparados, o grupo de intervenção obteve um ganho de conhecimento superior ao grupo de comparação (p = 0,016), demonstrando melhora progressiva e crescente com o uso da metodologia utilizada. Conclusões: o ensino simulado auxilia de maneira significativa no ganho de conhecimento técnico-cognitivo dos estudantes. Sendo assim, recomenda-se aderir ao uso dessa metodologia no ensino da Enfermagem Fundamental.		[Ribeiro, Laiane Medeiros; Silva, Izabel Cristina Rodrigues da; Hermann, Paula Regina de Souza; Carneiro, Karen Karoline Gouveia; Funghetto, Silvana Schwerz] Universidade de Brasília, Brazil; [Campanati, Fernanda Letícia da Silva] Instituto Federal de Goiás, Brazil; [Brasil, Guilherme da Costa] Centro Universitário do Distrito Federal, Brazil		Schwerz Funghetto, Silvana/M-4552-2017	Schwerz Funghetto, Silvana/0000-0002-9332-9029; Campanati, Fernanda Leticia da Silva/0000-0003-1044-7845		37	0	0	0	0	Associação Brasileira de Enfermagem			1984-0446		2022	75	2	e20201155		10.1590/0034-7167-2020-1155	Nursing	SciELO Brazil	Nursing	SCIELO:S0034-71672022000200168	gold				
J	Ferreira, Gabriel Caymmi Vilela; Miziara, Fausto; Vazquéz-González, Ibán		Intensificação da pecuária em Goiás	Livestock intensification in Goiás			Revista de Economia e Sociologia Rural	Portuguese	research-article	cluster analysis; factorial analysis; productivity; beef; milk		análise cluster; análise fatorial; produtividade; carne; leite		Abstract: This study aimed to analyze the level of livestock intensification in the years 2006 and 2017, in which data from the Agricultural Census conducted by IBGE are available, in the state of Goiás – GO (Central-West region). Using factor analysis techniques, hierarchical and non-hierarchical clusters based on data from the Agricultural Census, LAPIG/UFG and Agrodefesa – GO, it was possible to generate an index of intensification of livestock for beef and dairy cattle. The results indicate a significant intensification of livestock with an increase of 45% in stocking rate, in addition to an increase of 66% in animal supplementation, and 49% in milk productivity per cow. Livestock is a sectorized activity, which develops more intensely in specific areas. In addition, dairy activity has a higher level of intensification than beef cattle activity. In 2006, 47 counties for beef cattle and 104 counties for dairy farming were classified as high intensification. In 2017, the number of municipalities with high intensification was 49 and 111, respectively.		Resumo: O presente trabalho buscou analisar o nível da intensificação da pecuária nos anos de 2006 e 2017, nos quais estão disponibilizados os dados do Censo Agropecuário realizados pelo IBGE, no estado de Goiás – GO (Centro-Oeste). Utilizando técnicas de análise fatorial, aglomerados hierárquicos e não hierárquicos com base em dados do Censo Agropecuário, LAPIG/UFG e Agrodefesa – GO, foi possível gerar um índice de intensificação da pecuária para as atividades de corte e de leite. Os resultados indicam uma intensificação significativa da pecuária com aumento de 45% na taxa de lotação animal, além de aumento de 66% na suplementação animal e 49% de produtividade de leite por vaca. A pecuária é uma atividade setorizada, que se desenvolve de maneira mais intensa em zonas específicas. Além disso, a atividade leiteira possui um nível de intensificação superior à atividade de corte. Em 2006 foram classificados com alta intensificação 47 municípios para pecuária de corte e 104 municípios para pecuária leiteira. Já em 2017, o número de municípios com alta intensificação foram de 49 e 111, respectivamente.		[Miziara, Fausto] Universidade Federal de Goiás, Brazil; [Ferreira, Gabriel Caymmi Vilela] Instituto Federal de Goiás, Brasil; [Vazquéz-González, Ibán] Universidad de Santiago de Compostela, Spain			Vazquez-Gonzalez, Iban/0000-0001-5078-0525		60	0	0	2	2	Sociedade Brasileira de Economia e Sociologia Rural			1806-9479		2022	60	4	e242960		10.1590/1806-9479.2021.242960	Agricultural Economics & Policy; Sociology	SciELO Brazil	Agriculture; Sociology	SCIELO:S0103-20032022000400206	gold				
J	Rocha, L. F. N.; Rodrigues, S. S.; Santos, T. B.; Pereira, M. F.; Rodrigues, J.		Detection of enteroparasites in foliar vegetables commercialized in street- and supermarkets in Aparecida de Goiânia, Goiás, Brazil	Detecção de enteroparasitas em hortaliças comercializadas em feiras e supermercados em Aparecida de Goiânia, Goiás, Brasil			Brazilian Journal of Biology	English	research-article	contamination; lettuce; collard green; helminths; protozoa		contaminação; alface; couve; helmintos; protozoários		Abstract Foliar vegetables contaminated with fecal residues are an important route of transmission of intestinal parasites to humans. The aim of this study was to evaluate the presence of parasitic forms of protozoa and helminths on lettuces (Lactuca sativa) and collard greens (Brassica oleracea) sold in street- and supermarkets in the city of Aparecida de Goiânia, Goiás, Brazil. A total of 30 samples of each vegetable (15 samples from each supermarkets and street markets) was analyzed. All samples were processed by spontaneous sedimentation method and centrifugal flotation. In 45% of the samples, immature forms of intestinal parasites were identified with 66.7% helminths eggs and 33.3% protozoan cysts or oocysts. Significantly more lettuce samples were contaminated with eggs, cysts or oocyst of at least one parasite than collard green samples (U=216; Z=-3.45; P <0.001). The parasitic forms were identified morphologically up to the family level with eggs of Ancylostomatidae, Strongyloididae, Ascarididae and Taeniidae, or oocysts of Eimeriidae, to the genus with Cystoisospora sp. and Toxocara sp., and to the species level with Cystoisospora canis, Dipylidium caninum and Hymenolepis nana. The presence of these infective agents in lettuce and collard green from both street- and supermarkets highlights the high risk of spreading parasites by eating raw vegetables sold in Aparecida de Goiânia.		Resumo Hortaliças contaminadas com resíduos fecais são importantes vias de transmissão de parasitas intestinais ao homem. O objetivo deste estudo foi avaliar a presença de formas parasitárias de protozoários e helmintos em alface (Lactuca sativa) e couve (Brassica oleracea) vendidas em feiras e supermercados na cidade de Aparecida de Goiânia, Goiás, Brasil. Um total de 30 amostras de cada vegetal (15 amostras de supermercados e 15 de feiras livres) foi analisado. Todas as amostras foram processadas pelos métodos de sedimentação espontânea e centrífugo-flutuação. Em 45% das amostras foram identificadas formas imaturas de parasitas intestinais sendo 66,7% ovos de helmintos e 33,3% de cistos ou oocistos de protozoários. Significativamente, mais amostras de alface estavam contaminadas com ovos, cistos ou oocistos de pelo menos um parasita do que as amostras de couve (U = 216; Z = -3,45; P <0,001). As formas parasitárias foram identificadas morfologicamente ao nível de família com ovos de Ancylostomatidae, Strongyloididae, Ascarididae e Taeniidae ou oocistos de Eimeriidae, dos gêneros Cystoisospora sp. e Toxocara sp., e ao nível de espécies com Cystoisospora canis, Dipylidium caninum e Hymenolepis nana. A presença desses agentes infecciosos em alface e couve, provenientes tanto de feiras quanto de supermercados, ressalta o alto risco de veiculação de parasitas pela ingestão de hortaliças cruas comercializadas em Aparecida de Goiânia.		[Rocha, L. F. N.; Rodrigues, S. S.; Santos, T. B.; Pereira, M. F.] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Rodrigues, J.] Universidade Federal de Goiás, Brazil		; Panhwar, Dr.Waheed Ali/P-9012-2014	PEREIRA, Marlei de Fatima/0000-0002-3819-6622; Panhwar, Dr.Waheed Ali/0000-0002-4877-8511		37	0	0	1	1	Instituto Internacional de Ecologia			1678-4375		2022	82		e245368		10.1590/1519-6984.245368	Biology	SciELO Brazil	Life Sciences & Biomedicine - Other Topics	SCIELO:S1519-69842022000100225	gold				
J	Souza, André Oliveira; Viana, Alexandre Pio; Silva, Fabyano Fonseca e; Azevedo, Camila Ferreira; Silva, Flavia Alves da; Silva, Fernando Higino Lima e		Row–Col and Bayesian approach seeking to improve the predictive capacity and selection of passion fruit				Scientia Agricola	English	research-article	REML; posteriori; experimental precision				ABSTRACT Methods for genetic improvement of semi–perennial species, such as passion fruit, often involve large areas, unbalanced data, and lack of observations. Some strategies can be applied to solve these problems. In this work, different models and approaches were tested to improve the precision of estimates of genetic evaluation models for several characteristics of the passion fruit. A randomized block design (RBD) model was compared to a posteriori correction, adding two factors to the model (post–hoc blocking Row–Col). These models were also combined with the frequentist and Bayesian approaches to identify which combination yields the most accurate results. These approaches are part of a strategic plan in a perennial plant breeding program to select promising genitors of passion to compose the next selection cycle. For Bayesian, we tested two priors, defining different values for the distribution parameters of effect variances of the model. We also performed a cross–validation test to choose a priori values and compare the frequentist and Bayesian approaches using the root mean square error (RMSE) and the correlation between the predicted and observed values, called Predictive capacity of the model (PC). The model with the post–hoc blocking Row–Col design captured the spatial variability for productivity and number of fruits, directly affecting the experimental precision. Both approaches applied to the models showed a similar performance, with predictive capacity and selective efficiency leading to the selection of the same individuals.				[Azevedo, Camila Ferreira] Universidade Federal de Viçosa, Brazil; [Silva, Fernando Higino Lima e] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Viana, Alexandre Pio; Silva, Flavia Alves da] Universidade Estadual do Norte Fluminense, Brazil; [Souza, André Oliveira] Instituto Federal do Espírito Santo, Brazil; [Silva, Fabyano Fonseca e] Universidade Federal de Viçosa, Brazil		Azevedo, Camila/H-7028-2016; Silva, Fabyano/Y-9223-2019	Azevedo, Camila/0000-0003-0438-5123; Silva, Fabyano/0000-0001-9536-1113; Oliveira Souza, Andre/0000-0003-2500-5900		21	0	0	3	3	São Paulo - Escola Superior de Agricultura "Luiz de Queiroz"			1678-992X		2022	79	4	e20200361		10.1590/1678-992x-2020-0361	Agriculture, Multidisciplinary	SciELO Brazil	Agriculture	SCIELO:S0103-90162022000400501	gold				
J	Jesus, Simone de; Oliveira, Dijaci David; Frattari, Najla Franco		O crime de latrocínio em Goiânia: Interações e conflitos na cena do crime	The Crime of Latrocínio in the City of Goiânia: Interactions and Conflicts at the Crime Scene			Dilemas: Revista de Estudos de Conflito e Controle Social	Portuguese	research-article	criminal violence; police investigation; crimes; robberies followed by murder; public safety		violência criminal; investigação policial; crimes; latrocínio; segurança pública		ABSTRACT This paper aims to understand the main interactions and conflicts between actors and institutions in the criminal justice system. Therefore, The Crime of Latrocínio in the City of Goiânia: Interactions and Conflicts at the Crime Scene examines the investigations relevant to the crimes of robberies followed by murder in the city of Goiânia in 2017. The study aims to understand, through the analysis of police inquiries and in-depth interviews, how the professionals who work in the different stages of the criminal process conceive the investigation of robberies followed by murder in Goiânia and how they perceive their own performance and that of the different professionals in this process.		RESUMO Este artigo tem como objetivo compreender as principais interações e conflitos entre os atores e instituições do sistema de justiça criminal. Para tanto, toma como objeto de pesquisa as investigações pertinentes aos crimes de latrocínio do município de Goiânia no ano de 2017. Busca-se entender, por meio da análise dos inquéritos policiais e de entrevistas em profundidade, o modo como os profissionais que atuam nas diversas etapas do processo criminal concebem a investigação de latrocínios em Goiânia e como percebem sua própria atuação e a dos diferentes profissionais nesse processo.		[Frattari, Najla Franco] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Oliveira, Dijaci David] Universidade Federal de Goiás, Brazil; [Jesus, Simone de] Universidade Federal de Goiás, Brazil					24	0	0	0	0	Universidade Federal do Rio de Janeiro			2178-2792	12	2021	14	3	821	842	10.4322/dilemas.v14n3.35200	Anthropology; Sociology	SciELO Brazil	Anthropology; Sociology	SCIELO:S2178-27922021000300821	gold				
J	MENDES, T. A.; SOUSA JÚNIOR, S. F.; PEREIRA, S. A. S.		Implementation of the Green-Ampt Infiltration Model: Comparative between Different Numerical Solutions				Trends in Computational and Applied Mathematics	English	research-article	rainfall simulator; Newton-Raphson method; W-Lambert function				ABSTRACT The phenomena of infiltration and the percolation of water in the soil are of fundamental importance for the evaluation of runoff, groundwater recharge, evapotranspiration, soil erosion and transport of chemical substances in surface and groundwater. Within this context, the quantitative determination of the infiltration values is extremely important for the different areas of knowledge, in order to evaluate, mainly the surface runoff. Several types of changes in vegetation cover and topography result in significant changes in the infiltration process, making it necessary to use mathematical models to assess the consequences of these changes. Thus, this paper aims to implement the Green-Ampt model using two numerical methods - Newton-Raphson method and W-Lambert function - to determine soil permeability parameters - K and matric potential multiplied by the difference between initial and of saturation - ψ∆θ comparing them to the real data obtained in simulations using an automatic rainfall simulator from the Federal University of Goiás - UFG. The Green-Ampt model adjusted well to the data measured from the rain simulator, with a determination coefficient of 0.978 for the Newton-Raphson method and 0.984 for the W-Lambert function.				[MENDES, T. A.] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [PEREIRA, S. A. S.] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [SOUSA JÚNIOR, S. F.] Empresa Brasileira de Infraestrutura Aeroportuária, Brazil					41	0	0	0	0	Sociedade Brasileira de Matemática Aplicada e Computacional - SBMAC			2676-0029	12	2021	22	4	645	658	10.5540/tcam.2021.022.04.00645	Mathematics; Mathematics, Applied	SciELO Brazil	Mathematics	SCIELO:S2676-00292021000400645	gold				
J	NICOLINI, CRISTIANO; MEDEIROS, KÊNIA ÉRICA GUSMÃO		APRENDIZAGEM HISTÓRICA EM TEMPOS DE PANDEMIA	El aprendizaje histórico en tiempos de pandemia	Historical learning in pandemic times		Estudos Históricos (Rio de Janeiro)	Portuguese	research-article	Coronavirus; Pandemic; History Teaching; Historical Consciousness	Coronavirus; pandemia; enseñanza de la historia; conciencia histórica	Coronavírus; Pandemia; Ensino de História; Consciência Histórica		ABSTRACT The coronavirus pandemic caused changes in different social segments. In the educational field, schools suspended activities in compliance with health guidelines and several problems arose when they implemented emergency remote education. With that in mind, a Teaching Reflection Group (TRG) was proposed on the occasion of the XI Perspectives on Teaching History, promoted by the Brazilian History Teaching Association. This text systematizes the discussions held in this TRG, involving narratives from different Regions of Brazil. The reports are presented from three axes, leading to reflections on the impact of the pandemic and remote education on the teaching of history.	RESUMEN La pandemia de Coronavirus provocó cambios en diferentes segmentos sociales. En el ámbito educativo, las escuelas suspendieron las actividades en cumplimiento de los lineamientos de salud y surgieron varios problemas cuando implementaron educación remota de emergencia. Con eso en mente, se propuso un Grupo de Reflexión Docente con motivo de las XI Perspectivas de la Enseñanza de la Historia, promovido por la Asociación Brasileña de Enseñanza de la Historia. Este texto sistematiza las discusiones realizadas en este GRD, involucrando narrativas de diferentes regiones de Brasil. Los informes se presentan desde tres ejes, dando lugar a reflexiones sobre el impacto de la pandemia y la educación a distancia en la enseñanza de la Historia.	RESUMO A pandemia do coronavírus provocou mudanças em diferentes segmentos sociais. No campo educacional, as escolas suspenderam atividades em cumprimento às orientações sanitárias e vários problemas surgiram quando implantaram o ensino remoto emergencial (ERE). Pensando nisso, foi proposto um Grupo de Reflexão Docente (GRD) na ocasião do XI Encontro Nacional Perspectivas do Ensino de História, promovido pela Associação Brasileira de Ensino de História. O presente texto sistematiza as discussões realizadas nesse GRD, envolvendo narrativas de diferentes Regiões do Brasil. Os relatos são apresentados a partir de três eixos, conduzindo a reflexões sobre o impacto da pandemia e do ensino remoto sobre o ensino de história.		[MEDEIROS, KÊNIA ÉRICA GUSMÃO] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [NICOLINI, CRISTIANO] Universidade Federal de Goiás, Brazil			Nicolini, Cristiano/0000-0003-2033-2910		22	0	0	5	5	Centro de Pesquisa e Documentação de História Contemporânea do Brasil da Fundação Getúlio Vargas			2178-1494	08	2021	34	73	281	298	10.1590/s2178-149420210204	History; Humanities, Multidisciplinary	SciELO Brazil	History; Arts & Humanities - Other Topics	SCIELO:S0103-21862021000200281	gold				
J	Bessa, Jaqueline Ferreira Vieira; Resende, Osvaldo; Lima, Rayr Rodrigues de; Lopes, Maria Aparecida da Silva; Rosa, Elivanio Santos; Siqueira, Valdiney Cambuy		Storage of soybean with high percentage of grains damaged by bugs in the crop				Revista Ceres	English	research-article	Glycine max; pest-insect; moisture content				ABSTRACT Bugs are pest insects that, when not adequately controlled, may cause significant losses in the soybean crop. Their damage to grains compromises delivery in the storage unit and storage success. Thus, the objective of this study was to evaluate, during storage, the effect of temperature and moisture content on soybean grain quality with high damage caused by bugs in the crop. The experiment was set in a completely randomized design with a 2 x 4 x 5 factorial design, with two moisture contents (11.75 and 13.84% (w.b.)), four storage temperatures (20, 25, 30 and 35 °C), and five evaluation periods (0, 2, 4, 6 and 8 months). The percentage of damaged/fermented, damaged, fermented, broken grains, and electrical conductivity were analyzed. It can be inferred that bug-damaged soybean grains have reduced quality when stored at higher temperatures and for more extended periods. It is not recommended to store bug-damaged grains in moisture contents of 13.84% (w.b.) at temperatures above 30 °C for longer than four months. Grains stored at 35 °C when not damaged by bugs, ferment after six months of storage. Bug-damaged grains evolve to fermented grains during storage.				[Siqueira, Valdiney Cambuy] Universidade Federal da Grande Dourados, Brazil; [Bessa, Jaqueline Ferreira Vieira; Resende, Osvaldo; Lima, Rayr Rodrigues de; Lopes, Maria Aparecida da Silva; Rosa, Elivanio Santos] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil					22	0	0	0	0	Universidade Federal de Viçosa			2177-3491	06	2021	68	3	185	193	10.1590/0034-737x202168030004	Agriculture, Multidisciplinary	SciELO Brazil	Agriculture	SCIELO:S0034-737X2021000300185	gold				
J	Rosa-Pereira, Eliton Perpetuo; Gillanders, Carol		Aproximación a la investigación iberoamericana en educación musical	Approach to Ibero-American Research in Music Education			Revista musical chilena	Spanish	research-article	musical education; Ibero-America; investigation; lines of investigation; scientific production	educación musical; Iberoamérica; investigación; líneas de investigación; producción científica			The historical path followed by research in music education is clearly defined and studied in the Anglo-Saxon context. In Spain there are several works that illuminate its journey and that serve as background for the design of an exploratory study in the Ibero-American field. This work provides an approach to the state of research in music education in Ibero-America, presenting its main researchers, journals indexed in the main databases and those relevant to the field, countries with scientific production and a general context of education and research in music education in each one of the countries that make up the Ibero-American community.	La trayectoria histórica de la investigación en educación musical está claramente definida y estudiada en el contexto anglosajón. En España existen diversos trabajos que iluminan su recorrido y que sirven de antecedentes para la realización de un estudio exploratorio en el ámbito iberoamericano. Este trabajo aporta un acercamiento al estado de la investigación en educación musical en Iberoamérica, presentando sus principales investigadores, las revistas indexadas en las principales bases de datos y aquellas relevantes para el campo, los países con producción científica y un contexto general de la enseñanza y la investigación en educación musical en cada uno de los países que componen la comunidad iberoamericana.			[Gillanders, Carol] Universidade de Santiago de Compostela, España; [Rosa-Pereira, Eliton Perpetuo] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil					72	0	0	0	0	Universidad de Chile, Facultad de Artes			0716-2790	06	2021	75	235	55	75		Music	SciELO Chile	Music	SCIELO:S0716-27902021000100055	gold				
