DOI	Affiliations
10.1016/j.nonrwa.2021.103406	Instituto Federal de Goiás-IFG, Campus Goiânia, GO74055-110, Brazil; Instituto de Matemática e Estatística-IME - Universidade Federal de Goiás-UFG, Campus II, Goiânia, GO74690-900, Brazil
10.1007/978-3-030-79165-0_25	Instituto Federal de Goiás (IFG), Aparecida de Goiânia Campus, Aparecida de Goiânia, Brazil; Centre for Textile Science and Technology (2C2T), University of Minho, Azurém Campus, Guimarães, Portugal
10.1590/1519-6984.245368	Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Aparecida de Goiânia, GO, Brazil; Universidade Federal de Goiás – UFG, Instituto de Patologia Tropical e Saúde Pública – IPTSP, Goiânia, GO, Brazil
10.1590/1519-6984.234476	Universidade Federal de Goiás – UFG, Rede Pró Centro-Oeste, Programa de Pós-graduação em Biotenologia e Biodiversidade – PGBB, Goiânia, GO, Brazil; Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Núcleo de Estudos e Pesquisas em Promoção da Saúde – NUPPS, Goiânia, GO, Brazil; Universidade Federal de Goiás – UFG, Goiânia, GO, Brazil; Instituto Federal de Ciência e Tecnologia Goiano – IFGoiano, Rio Verde, GO, Brazil; Pontifícia Universidade Católica de Goiás – PUCGO, Goiânia, GO, Brazil; Universidade Estadual de Goiás – UEG, Anápolis, GO, Brazil; Pontifícia Universidade Católica de Goiás – PUCGO, Goiânia, GO, Brazil
10.1038/s41598-021-97854-8	Department of Agronomy, Universidade Federal Rural de Pernambuco (UFRPE), Recife, PE, Brazil; Departament of Academic Areas, Instituto Federal de Goiás (IFG), Águas Lindas, GO, Brazil; National Center for Vegetable Crops Research, Embrapa Vegetables (CNPH), Brasília, DF, Brazil; Plant Pathology Department, ICB, Universidade de Brasília (UnB), Brasília, DF, Brazil; Department of Cell Biology, ICB, Universidade de Brasília (UnB), Brasília, DF, Brazil; Department of Biology, Universidade Federal Rural de Pernambuco (UFRPE), Recife, PE, Brazil
10.1038/s41598-021-96169-y	Institute for Hygiene and Public Health, Medical Faculty, University of Bonn, Venusberg-Campus 1, Bonn, 53127, Germany; Institute of Animal Sciences, University of Bonn, Bonn, Germany; Department of Microbiology/Molecular Biology, Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology, Eggenstein-Leopoldshafen, Germany; Institute for Medical Microbiology, Immunology and Parasitology, Medical Faculty, University of Bonn, Bonn, Germany; Department for Biological Safety, German Federal Institute for Risk Assessment, Berlin, Germany; Department of Fresh Produce Logistics, Hochschule Geisenheim University, Geisenheim, Germany
10.1016/j.ijrmms.2021.104879	Department of Environmental Informatics, Helmholtz-Zentrum für Umweltforschung GmbH – UFZ, Germany; Geotechnical Institute, Technische Universität Bergakademie Freiberg, Germany; IfG – Institut für Gebirgsmechanik GmbH, Germany; Environmental Systems Analysis, Technische Universität Dresden, Germany; TUBAF-UFZ Centre for Environmental Geosciences, Germany
10.1016/j.geoderma.2021.115315	Grupo de Estudos em Geomática (GEO), Instituto Federal de Goiás (IFG), Campus Goiânia, R. 75, n. 46 - St. Central, Goiânia, GO  74055-110, Brazil; Laboratório de Geomorfologia, Pedologia e Geografia Física (LABOGEF), Instituto de Estudos Sócio-Ambiental (IESA), Universidade Federal Goiás (UFG), Av. Esperança, s/n, Goiânia, GO  74001-970, Brazil
10.1016/j.scitotenv.2021.148633	Laboratory of Environmental Biotechnology and Ecotoxicology, Institute of Tropical Pathology and Public Health, Federal University of Goiás, Goiânia, Goiás, Brazil; Federal Institute of Education, Science and Technology of Goiás (IFG), Câmpus GoiâniaGoiás, Brazil; Norwegian Institute for Water Research (NIVA), Section of Ecotoxicology and Risk Assessment, Gaustadalléen 21, Oslo, N-0349, Norway
10.1016/j.jece.2021.106095	Universidade Federal de Goiás (UFG), Instituto de Química, Av. Esperança s/n, Campus Samambaia, Goiânia, Goiás  CEP 74690-900, Brazil; Faculdade Metropolitana de Anápolis (FAMA), Av. Fernando Costa, 49 - Vila Jaiara St. Norte, Anápolis, Goiás  CEP 75064-780, Brazil; Universidade Estadual de Maringá (UEM), Av. Colombo n°. 5790 - Bl. D-90, Maringá, Paraná  CEP 87020-900, Brazil; Instituto Federal de Goiás (IFG), Rua 75 n°. 46, Goiânia, Goiás  CEP 74055-110, Brazil
10.1007/s42991-021-00156-9	Programa de Pós-Graduação em Conservação dos Recursos Naturais do Cerrado, Instituto Federal Goiano-IFG, Urutaí, GO, Brazil; Programa de Conservação Mamíferos do Cerrado-PCMC, Departamento de Ciências Biológicas, Universidade Federal de Catalão-UFCAT, Campus II/sala 06, Rua Terezinha Margon Vaz, s/n-Residencial Barka II, Catalão, GO  75706-881, Brazil; Instituto Latino-Americano de Ciências da Vida e da Natureza, Universidade Federal da Integração Latino-Americana-UNILA, Paraná, Brazil; Deer Research and Conservation Center (NUPECCE)/São Paulo State University, São Paulo, SP, Brazil; Muriqui Instituto de Biodiversidade, Caratinga, Brazil; Technical Director at Ecologic-Centro de Avaliações e Perícias Ambientais, Promissão, SP, Brazil; FURNAS Centrais Elétricas S.A., Belo Horizonte, Brazil; Biodiversity Research Centre-Universidade Federal de Roraima-CBio-UFRR, Boa Vista, RR, Brazil; University of East Anglia-UEA, Norwich, United Kingdom; Norwegian University of Life Sciences-NMBU, Ås, Norway; Department of Wildlife, Fish, and Conservation Biology, Graduate Group in Ecology, University of California, Davis, CA, United States; Grupo de Ecologia e Conservação de Felinos na Amazônia, Instituto de Desenvolvimento Sustentável Mamirauá, Tefé, Brazil
10.24084/repqj19.304	Núcleo de Pesquisas em Sistemas de Energia – NUPSE IFG, Instituto Federal de Goiás Campus of Itumbiara, Furnas, 55, Itumbiara, Brazil
10.24084/repqj19.282	Núcleo de Pesquisas em Sistemas de Energia-NuPSE Federal Institute of Education, Science and Technology of Goiás-IFG Campus Itumbiara, Goiás, Brazil
10.1051/0004-6361/202141330	Institute of Geoscience (IfG), Goethe University Frankfurt, Altenhoeferallee 1, Frankfurt, 60320, Germany
10.1002/adma.202103218	Physics of Energy Conversion and Storage, Physik-Department, Technische Universität München, James-Franck-Str. 1, Garching, 85748, Germany; Catalysis Research Center TUM, Ernst-Otto-Fischer-Straße 1, Garching, 85748, Germany; Chair of Inorganic and Metal–Organic Chemistry, Department of Chemistry, Technische Universität München, Lichtenbergstraße 4, Garching, 85748, Germany; Lehrstuhl für Funktionelle Materialien, Physik-Department, Technische Universität München, James-Franck-Str. 1, Garching, 85748, Germany; Department of Chemistry, Ludwig-Maximilians-Universität München, Butenandtstr. 5–13 (E), München, 81377, Germany; Institut für Funktionelle Grenzflächen (IFG), Karlsruhe Nano Micro Facility (KNMF), Karlsruher Institut für Technologie (KIT), Karlsruhe, 76021, Germany; Department of Chemistry, Technische Universität München, Lichtenbergstraße 4, Garching, 85748, Germany; Heinz Maier-Leibnitz Zentrum (MLZ), Technische Universität München, Lichtenbergstr. 1, Garching, 85748, Germany
10.1007/s10455-021-09786-1	IME, Universidade Federal de Goiás, Goiânia, GO  CEP 74690-900, Brazil; CEST, Universidade do Estado do Amazonas, 1085, Tefé, AM  CEP 69552-315, Brazil; Instituto Federal de Goiás, IFG, Rua Formosa, Loteamento Santana, Uruaçu, GO  CEP 76400-000, Brazil
10.1002/smll.202101475	Brazilian Nanotechnology National Laboratory (LNNano), Brazilian Center for Research in Energy and Materials (CNPEM), Campinas, São Paulo  13083-970, Brazil; Postgraduate Program in Materials Science and Technology (POSMAT), São Paulo State University (UNESP), Bauru, São Paulo  17033-360, Brazil; Federal University of ABC (UFABC), Santo André, São Paulo  09210-580, Brazil; Department of Physical Chemistry, Institute of Chemistry (IQ), University of Campinas (UNICAMP), Campinas, São Paulo  13084-862, Brazil; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, 76344, Germany
10.1002/adma.202103287	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Tata Institute of Fundamental Research Hyderabad, Gopanpally, Hyderabad, Telangana  500046, India; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Physikalisch-Chemisches Institut, Universität Heidelberg, Im Neuenheimer Feld 253, Heidelberg, 69120, Germany; DWI – Leibniz Institute for Interactive Materials & Institute of Technical and Macromolecular Chemistry, RWTH Aachen University, Forckenbeckstr. 50, Aachen, 52074, Germany; Institute of Theoretical Solid State Physics (TFP), Karlsruhe Institute of Technology (KIT), Fritz-Wolfgang Gaede Str. 1, Karlsruhe, 76131, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Biological and Chemical Systems (IBCS-FMS), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Solid State Physics, Graz University of Technology, NAWI Graz, Petersgasse 16, Graz, 8010, Austria
10.1016/j.ins.2021.05.037	Federal University of Minas Gerais (UFMG), Belo Horizonte, MG, Brazil; Federal University of Ouro Preto (UFOP), Ouro Preto, MG, Brazil; Federal Institute of Goiás (IFG), Anápolis, GO, Brazil
